DivisionName,??,a1,a1?,a2,a3,a4,B1,b2,b3,b4,c1,c2,c3,d1,d2,e,Unknown
Ajmere,,,,,,,,,30647,,,,,,,,
Bakraich,,,,,147,,,,,,,7156,,5626,10619,,
Beas,,,,,,,,,,,,9041,444,13431,,,
Bhagirathi,,,,,1436,,,,,,,1033,,2599,,,
Cachar,4438,24627,,3618,,,,1799,,,18421,,,,,,909
Chenab,,,,,,,,,3432,6447,,,,,,,
Chittagong,6652,20692,,7496,,,,,,,13968,,,,,,
Coorg,,6036,,1534,,,,,,,,,,,,,
Darjeeling,,,,,,,,,,,,7312,,4411,7160,,
Dehra Dun,,,,,425,,,764,4367,,,1320,,1522,,,
Garhwal,,,,,,,,,,,,,,1846,3030,,
Gauhati,,4084,,7613,,,,,,,,1464,,,,,
Goalpara,,2367,,12965,,,,,,,,5969,,23,,,
Golaghat,45,18460,,2683,,,,7117,,,61365,3803,,248,,,456
Gonda,,,,,,,,2381,,,,2563,,498,23,,
Gorakhpur,,,,,2401,,,143,,,,8983,,5458,5520,,
Jalpaiguri,,,,1005,,,,,,,,2600,,452,,,
Jaunsar,,,,,,,,149,,,,616,,10813,,,
Jhelam,,,,,,,,,6576,3197,,,2028,,,,
Kadoe Revenue Station,13853,2576,,540,,,,92553,22331,,72139,,,,,,
Kheri,,,,,1737,,,1863,1235,,,5197,,4575,1038,,
Kumaun,,,,,2644,,,420,,,,5346,529,6259,6171,,
Mhairwarra,,,,,,,,,15090,12415,,,,,,,
Mysore,,3678,,4545,,,,6925,,,5918,,,,,,
Nagar,,10645,,9444,2966,,,1344,,,,,,,,,
Northern Division,,,,,,,,2634,205,,,,,,,,
Palamow,,,,646,20936,,,20565,,,,,,,,,
Prome,12255,31285,,1163,,,,26515,318,,23222,,,,,,
Rangoon,0,5159,,1635,,610,,,,,,,,,,,
Ravi,,,,,,,,,5165,503,,,,,,,
Rawalpindi,,,,,,,,,247,,,2557,30886,1515,30154,,
Salween,,,21173,,,,,,,,,,,,,,
Saugor Division,,,,,,,,32980,9209,,,,,,,,
Singhbhoom,,,,6571,50747,,,83,,,3745,,,,,,
Sittang,,9625,59,1958,,,,,,,379,,,,,,
Southern Division,,,,,,,,17145,2004,,,,,,,,
Sunderbans,,,,,,10978,,,,,,,,,,,
Sutlej,,,,,,,,,4560,,,,,,,,
Tavoy,,,38820,,,,,,,,,,,,,,
Tezpur,,,,142,,,,,,,,5765,,1763,,,64
Tharrawaddie,1149,10430,,8531,,,,683,,,566,,,,,,
