DivisionName,a1,a1?,a2,a3,a4,B1,b2,b3,b4,c1,c2,c3,d1,d2,e,??,Unknown,Grand Total
Ajmere,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%
Bakraich,0.0%,0.0%,0.0%,1.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,30.0%,0.0%,24.0%,45.0%,0.0%,0.0%,0.0%,100.0%
Beas,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,39.0%,2.0%,59.0%,0.0%,0.0%,0.0%,0.0%,100.0%
Bhagirathi,0.0%,0.0%,0.0%,28.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,20.0%,0.0%,51.0%,0.0%,0.0%,0.0%,0.0%,100.0%
Cachar,46.0%,0.0%,7.0%,0.0%,0.0%,0.0%,3.0%,0.0%,0.0%,34.0%,0.0%,0.0%,0.0%,0.0%,0.0%,8.0%,2.0%,100.0%
Chenab,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,35.0%,65.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%
Chittagong,42.0%,0.0%,15.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,29.0%,0.0%,0.0%,0.0%,0.0%,0.0%,14.0%,0.0%,100.0%
Coorg,80.0%,0.0%,20.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%
Darjeeling,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,39.0%,0.0%,23.0%,38.0%,0.0%,0.0%,0.0%,100.0%
Dehra Dun,0.0%,0.0%,0.0%,5.0%,0.0%,0.0%,9.0%,52.0%,0.0%,0.0%,16.0%,0.0%,18.0%,0.0%,0.0%,0.0%,0.0%,100.0%
Garhwal,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,38.0%,62.0%,0.0%,0.0%,0.0%,100.0%
Gauhati,31.0%,0.0%,58.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,11.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%
Goalpara,11.0%,0.0%,61.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,28.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%
Golaghat,20.0%,0.0%,3.0%,0.0%,0.0%,0.0%,8.0%,0.0%,0.0%,65.0%,4.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%
Gonda,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,44.0%,0.0%,0.0%,0.0%,47.0%,0.0%,9.0%,0.0%,0.0%,0.0%,0.0%,100.0%
Gorakhpur,0.0%,0.0%,0.0%,11.0%,0.0%,0.0%,1.0%,0.0%,0.0%,0.0%,40.0%,0.0%,24.0%,25.0%,0.0%,0.0%,0.0%,100.0%
Jalpaiguri,0.0%,0.0%,25.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,64.0%,0.0%,11.0%,0.0%,0.0%,0.0%,0.0%,100.0%
Jaunsar,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.0%,0.0%,0.0%,0.0%,5.0%,0.0%,93.0%,0.0%,0.0%,0.0%,0.0%,100.0%
Jhelam,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,56.0%,27.0%,0.0%,0.0%,17.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%
Kadoe Revenue Station,1.0%,0.0%,0.0%,0.0%,0.0%,0.0%,45.0%,11.0%,0.0%,35.0%,0.0%,0.0%,0.0%,0.0%,0.0%,7.0%,0.0%,100.0%
