,??,a1,a1?,a2,a3,a4,B1,b2,b3,b4,c1,c2,c3,d1,d2,e,Unknown,Total
Ajmere,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6.17%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6.17%
Bakraich,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Beas,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.34%,0.02%,0.50%,0.00%,0.00%,0.00%,0.86%
Bhagirathi,0.00%,0.00%,0.00%,0.00%,0.30%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.22%,0.00%,0.55%,0.00%,0.00%,0.00%,1.07%
Cachar,0.26%,1.44%,0.00%,0.21%,0.00%,0.00%,0.00%,0.10%,0.00%,0.00%,1.07%,0.00%,0.00%,0.00%,0.00%,0.00%,0.05%,3.14%
Chenab,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.86%,1.61%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.47%
Chittagong,0.33%,1.04%,0.00%,0.38%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.70%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.44%
Coorg,0.00%,5.82%,0.00%,1.48%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,7.30%
Darjeeling,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.66%,0.00%,2.21%,3.58%,0.00%,0.00%,9.45%
Dehra Dun,0.00%,0.00%,0.00%,0.00%,0.20%,0.00%,0.00%,0.36%,2.07%,0.00%,0.00%,0.62%,0.00%,0.72%,0.00%,0.00%,0.00%,3.97%
Garhwal,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.99%,1.62%,0.00%,0.00%,2.60%
Gauhati,0.00%,0.17%,0.00%,0.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.06%,0.00%,0.00%,0.00%,0.00%,0.00%,0.56%
Goalpara,0.00%,0.10%,0.00%,0.52%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.24%,0.00%,0.00%,0.00%,0.00%,0.00%,0.86%
Golaghat,0.00%,0.06%,0.00%,0.01%,0.00%,0.00%,0.00%,0.02%,0.00%,0.00%,0.19%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.30%
Gonda,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.30%,0.00%,0.00%,0.00%,0.33%,0.00%,0.06%,0.00%,0.00%,0.00%,0.70%
Gorakhpur,0.00%,0.00%,0.00%,0.00%,0.16%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.61%,0.00%,0.37%,0.38%,0.00%,0.00%,1.53%
Jalpaiguri,0.00%,0.00%,0.00%,0.16%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.41%,0.00%,0.07%,0.00%,0.00%,0.00%,0.64%
