,??,a1,a1?,a2,a3,a4,B1,b2,b3,b4,c1,c2,c3,d1,d2,e,Unknown
Ajmere,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0
Bakraich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beas,0,0,0,0,0,0,0,0,0,0,0,12.62473502,0.620466696,18.75479829,0,0,0
Bhagirathi,0,0,0,0,11.33340803,0,0,0,0,0,0,8.154095035,0,20.51249693,0,0,0
Cachar,9.64991314,53.5450673,0,7.866128674,0,0,0,3.911081861,0,0,40.05181836,0,0,0,0,0,1.975990666
Chenab,0,0,0,0,0,0,0,0,31.96278822,60.03721178,0,0,0,0,0,0,0
Chittagong,12.40163237,38.58018762,0,13.97543283,0,0,0,0,0,0,26.04274717,0,0,0,0,0,0
Coorg,0,216.8831369,0,55.11686311,0,0,0,0,0,0,0,0,0,0,0,0,0
Darjeeling,0,0,0,0,0,0,0,0,0,0,0,136.3071223,0,82.22178806,133.4710896,0,0
Dehra Dun,0,0,0,0,7.495322987,0,0,13.46937918,76.95820996,0,0,23.25508628,0,26.82200159,0,0,0
Garhwal,0,0,0,0,0,0,0,0,0,0,0,0,0,36.72754979,60.27245021,0,0
Gauhati,0,6.51689633,0,12.1470387,0,0,0,0,0,0,0,2.336064971,0,0,0,0,0
Goalpara,0,3.551743326,0,19.45631372,0,0,0,0,0,0,0,8.957517579,0,0.034425372,0,0,0
Golaghat,0.005307464,2.156195056,0,0.313345687,0,0,0,0.831221135,0,0,7.167531163,0.444225045,0,0.028942976,0,0,0.053231475
Gonda,0,0,0,0,0,0,0,11.32717038,0,0,0,12.19404405,0,2.368236675,0.110548898,0,0
Gorakhpur,0,0,0,0,6.080380285,0,0,0.362231828,0,0,0,22.75162029,0,13.8237849,13.9819827,0,0
Jalpaiguri,0,0,0,5.944082094,0,0,0,0,0,0,0,15.38387824,0,2.672039666,0,0,0
Jaunsar,0,0,0,0,0,0,0,1.682182707,0,0,0,6.969939725,0,122.3478776,0,0,0
Jhelam,0,0,0,0,0,0,0,0,69.09668751,33.59702517,0,0,21.30628732,0,0,0,0
Kadoe Revenue Station,0.135821547,0.025255362,0,0.005299077,0,0,0,0.907414319,0.218936092,0,0.707273602,0,0,0,0,0,0
Kheri,0,0,0,0,7.437279115,0,0,7.977918261,5.290371677,0,0,22.25743531,0,19.59343204,4.443563603,0,0
Kumaun,0,0,0,0,19.30090688,0,0,3.064527718,0,0,0,39.02961984,3.860614631,45.68975794,45.05457298,0,0
Mhairwarra,0,0,0,0,0,0,0,0,7.132006297,5.867993703,0,0,0,0,0,0,0
Mysore,0,105.8094018,0,130.7367397,0,0,0,199.2086573,0,0,170.2452013,0,0,0,0,0,0
Nagar,0,20.9417364,0,18.57947804,5.834795034,0,0,2.643990521,0,0,0,0,0,0,0,0,0
Northern Division,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palamow,0,0,0,0.980684301,31.79101461,0,0,31.22830109,0,0,0,0,0,0,0,0,0
Prome,5.431751518,13.86670581,0,0.515527494,0,0,0,11.75234519,0.140947282,0,10.29272271,0,0,0,0,0,0
Rangoon,0.013612008,144.2207307,0,45.69973658,0,17.06592071,0,0,0,0,0,0,0,0,0,0,0
Ravi,0,0,0,0,0,0,0,0,62.87271206,6.127287936,0,0,0,0,0,0,0
Rawalpindi,0,0,0,0,0,0,0,0,0.280041358,0,0,2.895344463,34.96921414,1.714720798,34.14067924,0,0
Salween,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saugor Division,0,0,0,0,0,0,0,5.472036006,1.527963994,0,0,0,0,0,0,0,0
Singhbhoom,0,0,0,4.620977167,35.68681316,0,0,0.058354485,0,0,2.633855186,0,0,0,0,0,0
Sittang,0,28.02285872,0.171287531,5.702226807,0,0,0,0,0,0,1.103626943,0,0,0,0,0,0
Southern Division,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sunderbans,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0
Sutlej,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0
Tavoy,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tezpur,0,0,0,0.7150318,0,0,0,0,0,0,0,29.07359231,0,8.889976148,0,0,0.32139974
Tharrawaddie,3.926542363,35.64772947,0,29.15753802,0,0,0,2.334144957,0,0,1.934045192,0,0,0,0,0,0
